t_norm,t,f
73.75496235455168,2021-01-01,5.6
74.00136892539356,2021-04-01,6.4
74.25051334702259,2021-07-01,3.5
74.50239561943874,2021-10-01,7.4
74.7542778918549,2022-01-01,-1.0
75.00068446269678,2022-04-01,0.3
75.24982888432581,2022-07-01,2.7
75.50171115674196,2022-10-01,3.4
75.75359342915812,2023-01-01,2.8
76.0,2023-04-01,2.4
76.24914442162903,2023-07-01,4.4
76.50102669404518,2023-10-01,3.2
76.75290896646133,2024-01-01,1.6
77.00205338809035,2024-04-01,3.0
77.25119780971937,2024-07-01,3.1
77.50308008213553,2024-10-01,2.4
77.75496235455168,2025-01-01,-0.5
78.00136892539356,2025-04-01,3.0
